,Label
320512,0
150310,0
405260,0
344851,1
170560,0
511381,0
462135,1
100490,0
427281,0
466204,0
523334,0
31764,0
13833,0
41120,0
149377,0
197070,0
319384,0
83113,0
431481,0
511998,0
32959,0
62510,0
457922,0
565907,0
459940,0
411405,0
88545,0
416209,0
46556,0
82799,0
333687,0
331481,0
206272,0
265554,0
220543,0
388019,1
312441,0
422039,0
531378,0
157654,0
505662,0
349235,0
393914,0
364722,0
224828,0
33897,1
33152,0
445567,0
94088,0
29503,0
20621,0
562613,0
274185,0
440526,0
522317,0
59600,0
545048,0
341287,0
290747,0
142033,0
48818,0
568692,0
294282,0
67917,0
375602,0
25756,0
451869,0
418423,0
413986,0
448879,0
461940,0
234611,0
260001,0
541699,0
361233,0
357967,0
5276,0
71382,0
490941,0
7257,0
176414,0
482851,0
546559,0
370774,0
530399,0
462901,0
47570,0
519208,0
430309,0
34453,0
61212,0
439423,0
2026,0
512285,0
33000,0
435310,0
378670,0
388832,0
231075,0
285101,0
555406,0
455409,0
223994,0
482907,0
75728,0
235841,0
459556,0
383171,0
556746,0
375650,0
108802,0
447302,0
135265,0
103508,0
186697,0
229729,0
88597,0
270772,0
20168,0
354887,0
566791,0
18688,1
226041,0
122987,0
402368,0
237970,0
339291,0
211191,0
538382,0
463403,0
34098,0
526861,0
195435,0
272170,0
569982,0
408318,0
565287,0
223244,0
565509,0
572321,0
472649,0
80667,0
77706,0
424096,0
315582,0
327628,0
356415,0
346146,0
551420,0
33292,0
352571,0
491306,0
174536,0
394190,0
118508,0
123952,0
22605,0
41043,0
158230,0
107150,0
392088,0
42655,0
351856,0
46526,0
126406,0
386971,0
20304,0
349027,0
318863,0
279720,0
563922,0
479270,0
531894,0
555232,1
507885,0
290790,0
279027,0
134849,0
265580,0
546724,0
393509,0
294896,0
235134,0
371966,0
266972,0
464463,0
385230,1
56938,0
442042,0
173880,0
503944,0
209603,0
63971,0
243234,0
394233,0
411538,0
308181,0
491297,0
511515,0
428513,0
306398,0
289979,0
303704,0
25485,0
550855,0
253456,0
468423,0
531805,0
229524,1
378497,0
273265,0
341513,0
10914,0
317349,0
437194,0
171180,0
339413,0
84615,1
106243,0
387817,0
474474,0
522768,0
32944,0
505179,0
249063,0
236854,0
242713,0
281715,0
438458,0
23458,0
527081,0
410830,0
404514,0
123375,0
438246,0
311187,0
124699,0
415127,0
92784,0
165780,0
273759,0
265593,0
211632,0
10011,0
268646,0
46807,0
69983,0
221202,0
301476,0
222880,0
82027,0
280352,0
345458,0
312781,0
178767,0
348835,0
163072,0
381579,0
55094,0
406549,0
329273,0
89624,0
26238,0
487742,1
177026,0
71551,0
267200,0
522923,0
574572,0
264969,0
228265,0
469016,0
167335,0
532543,0
526073,0
56362,0
81416,0
437386,0
303221,0
488164,0
526833,0
409628,0
268993,0
89688,0
525085,0
331199,1
236146,0
403404,0
22556,0
111022,1
246315,0
555212,0
218737,0
341966,0
169012,0
475953,0
69997,0
311688,0
187702,0
309095,0
328015,0
569211,0
349448,0
66972,0
50718,0
414772,0
336040,0
141010,0
346601,0
182165,0
452122,0
445063,0
95879,0
57045,0
369736,0
465023,0
121782,0
170074,1
253053,0
292632,0
271962,0
521394,0
199679,0
150673,1
454260,0
316961,0
484071,0
25870,0
151312,0
512085,0
223794,0
540619,0
113138,0
368800,0
137196,0
544646,0
13127,0
29719,0
267269,0
507190,0
279295,0
350426,0
62940,0
349271,0
315467,0
268919,0
17874,0
230236,0
560347,0
380965,0
385365,0
542166,0
222179,0
43855,0
397308,0
128836,0
424019,0
159054,0
445727,0
266780,0
330804,0
216328,0
36500,0
103401,0
373001,0
401845,0
345570,0
437240,0
319851,0
498642,0
435314,0
295500,0
440612,0
354533,0
118263,0
565859,0
414160,0
251690,0
533285,0
95408,0
295178,0
556753,0
535963,0
381653,0
424120,0
525297,0
354569,0
86533,0
336476,0
363821,0
137449,0
122678,0
397894,0
421639,0
172698,0
125570,0
501959,0
117208,0
94749,0
221526,0
572276,0
314079,0
268210,0
542085,0
3021,0
189921,0
572202,0
272801,0
471846,0
306757,0
133705,0
560185,0
420297,0
498052,0
501103,0
437505,0
285929,0
123467,0
52762,1
417358,0
542210,0
40955,0
460054,0
505440,0
80329,0
167597,0
440271,0
143837,0
46846,0
372149,0
187860,0
414112,0
92387,0
80456,0
327836,0
234978,0
13311,0
101255,0
159625,0
309485,0
397695,0
489869,0
464308,0
93325,0
86032,0
18119,0
36424,0
316252,0
284227,0
152847,0
162574,0
43305,0
413947,0
45562,0
568826,0
303980,0
475888,0
191354,0
119728,0
507964,0
151475,0
33006,0
340209,0
285221,0
230548,0
533897,0
176137,0
371978,0
571708,0
38517,0
365492,1
364744,0
380674,0
425770,0
440257,0
502233,0
489384,0
168699,0
540166,0
335647,0
155767,0
459226,0
321239,0
446340,0
164626,0
370782,0
194525,0
435772,0
55925,0
364235,0
352837,0
493099,0
267772,0
263143,0
279268,0
245701,0
73185,0
199385,0
345039,0
94119,0
260811,0
107347,0
363086,0
288222,0
